id,titulo,anio,calificacion,duracion,metascore,url,actores
4299,All About Eve,1950,8,138.0,98.0,https://www.imdb.com/title/tt0042192/,"Bette Davis, Anne Baxter, George Sanders"
4300,There Will Be Blood,2008,8,158.0,93.0,https://www.imdb.com/title/tt0469494/,"Daniel Day-Lewis, Paul Dano, Ciarán Hinds"
4301,The Thing,1982,8,109.0,57.0,https://www.imdb.com/title/tt0084787/,"Kurt Russell, Wilford Brimley, Keith David"
4302,No Country for Old Men,2007,8,122.0,92.0,https://www.imdb.com/title/tt0477348/,"Tommy Lee Jones, Javier Bardem, Josh Brolin"
4303,The Sixth Sense,1999,8,107.0,64.0,https://www.imdb.com/title/tt0167404/,"Bruce Willis, Haley Joel Osment, Toni Collette"
4304,El laberinto del fauno,2007,8,118.0,98.0,https://www.imdb.com/title/tt0457430/,"Ivana Baquero, Ariadna Gil, Sergi López"
4305,Ran,1985,8,160.0,97.0,https://www.imdb.com/title/tt0089881/,"Tatsuya Nakadai, Akira Terao, Jinpachi Nezu"
4306,Unforgiven,1992,8,130.0,85.0,https://www.imdb.com/title/tt0105695/,"Morgan Freeman, Clint Eastwood, Gene Hackman"
4307,Casino,1995,8,178.0,73.0,https://www.imdb.com/title/tt0112641/,"Robert De Niro, Joe Pesci, Sharon Stone"
4308,Top Gun: Maverick,2022,8,130.0,78.0,https://www.imdb.com/title/tt1745960/,"Miles Teller, Jennifer Connelly, Tom Cruise"
4309,Prisoners,2013,8,153.0,70.0,https://www.imdb.com/title/tt1392214/,"Hugh Jackman, Jake Gyllenhaal, Viola Davis"
4310,A Beautiful Mind,2002,8,135.0,72.0,https://www.imdb.com/title/tt0268978/,"Russell Crowe, Jennifer Connelly, Ed Harris"
4311,Kill Bill: Vol. 1,2003,8,111.0,69.0,https://www.imdb.com/title/tt0266697/,"Uma Thurman, David Carradine, Daryl Hannah"
4312,The Great Escape,1963,8,172.0,86.0,https://www.imdb.com/title/tt0057115/,"Steve McQueen, James Garner, Richard Attenborough"
4313,The Treasure of the Sierra Madre,1948,8,126.0,98.0,https://www.imdb.com/title/tt0040897/,"Humphrey Bogart, Walter Huston, Tim Holt"
4314,Dial M for Murder,1954,8,105.0,75.0,https://www.imdb.com/title/tt0046912/,"Grace Kelly, Ray Milland, Robert Cummings"
4315,La meglio gioventù,2003,8,374.0,89.0,https://www.imdb.com/title/tt0346336/,"Luigi Lo Cascio, Alessio Boni, Jasmine Trinca"
4316,Finding Nemo,2003,8,100.0,90.0,https://www.imdb.com/title/tt0266543/,"Albert Brooks, Ellen DeGeneres, Alexander Gould"
4317,Monty Python and the Holy Grail,1975,8,91.0,91.0,https://www.imdb.com/title/tt0071853/,"Graham Chapman, John Cleese, Eric Idle"
4318,Yôjinbô,1961,8,110.0,93.0,https://www.imdb.com/title/tt0055630/,"Toshirô Mifune, Tatsuya Nakadai, Eijirô Tôno"
4319,Hauru no ugoku shiro,2005,8,119.0,82.0,https://www.imdb.com/title/tt0347149/,"Chieko Baishô, Takuya Kimura, Tatsuya Gashûin"
4320,The Elephant Man,1980,8,124.0,78.0,https://www.imdb.com/title/tt0080678/,"Anthony Hopkins, John Hurt, Anne Bancroft"
4321,"Lock, Stock and Two Smoking Barrels",1998,8,107.0,67.0,https://www.imdb.com/title/tt0120735/,"Jason Flemyng, Dexter Fletcher, Nick Moran"
4322,El secreto de sus ojos,2010,8,129.0,80.0,https://www.imdb.com/title/tt1305806/,"Ricardo Darín, Soledad Villamil, Pablo Rago"
4323,Rashômon,1951,8,88.0,98.0,https://www.imdb.com/title/tt0042876/,"Toshirô Mifune, Machiko Kyô, Masayuki Mori"
4324,Gone with the Wind,1940,8,238.0,97.0,https://www.imdb.com/title/tt0031381/,"Clark Gable, Vivien Leigh, Thomas Mitchell"
4325,V for Vendetta,2006,8,132.0,62.0,https://www.imdb.com/title/tt0434409/,"Natalie Portman, Hugo Weaving, Rupert Graves"
4326,Catch Me If You Can,2002,8,141.0,75.0,https://www.imdb.com/title/tt0264464/,"Tom Hanks, Leonardo DiCaprio, Christopher Walken"
4327,Inside Out,2015,8,95.0,94.0,https://www.imdb.com/title/tt2096673/,"Amy Poehler, Bill Hader, Lewis Black"
4328,Trainspotting,1996,8,93.0,83.0,https://www.imdb.com/title/tt0117951/,"Ewan McGregor, Ewen Bremner, Jonny Lee Miller"
4329,"Three Billboards Outside Ebbing, Missouri",2017,8,115.0,88.0,https://www.imdb.com/title/tt5027774/,"Frances McDormand, Woody Harrelson, Sam Rockwell"
4330,Chinatown,1974,8,130.0,92.0,https://www.imdb.com/title/tt0071315/,"Jack Nicholson, Faye Dunaway, John Huston"
4331,The Bridge on the River Kwai,1957,8,161.0,88.0,https://www.imdb.com/title/tt0050212/,"William Holden, Alec Guinness, Jack Hawkins"
4332,Klaus,2019,8,96.0,65.0,https://www.imdb.com/title/tt4729430/,"J.K. Simmons, Jason Schwartzman, Rashida Jones"
4333,Harry Potter and the Deathly Hallows: Part 2,2011,8,130.0,85.0,https://www.imdb.com/title/tt1201607/,"Daniel Radcliffe, Emma Watson, Rupert Grint"
4334,Barry Lyndon,1975,8,185.0,89.0,https://www.imdb.com/title/tt0072684/,"Patrick Magee, Ryan O&apos;Neal, Marisa Berenson"
4335,Dead Poets Society,1989,8,128.0,79.0,https://www.imdb.com/title/tt0097165/,"Robin Williams, Robert Sean Leonard, Ethan Hawke"
4336,The Wild Robot,2024,8,102.0,85.0,https://www.imdb.com/title/tt29623480/,"Lupita Nyong&apos;o, Pedro Pascal, Kit Connor"
4337,Mad Max: Fury Road,2015,8,120.0,90.0,https://www.imdb.com/title/tt1392190/,"Tom Hardy, Charlize Theron, Nicholas Hoult"
4338,Million Dollar Baby,2005,8,132.0,86.0,https://www.imdb.com/title/tt0405159/,"Morgan Freeman, Clint Eastwood, Hilary Swank"
4339,Gran Torino,2009,8,116.0,73.0,https://www.imdb.com/title/tt1205489/,"Clint Eastwood, Bee Vang, Christopher Carley"
4340,Raging Bull,1980,8,129.0,90.0,https://www.imdb.com/title/tt0081398/,"Robert De Niro, Joe Pesci, Cathy Moriarty"
4341,Fargo,1996,8,98.0,88.0,https://www.imdb.com/title/tt0116282/,"Frances McDormand, William H. Macy, Steve Buscemi"
4342,Ben-Hur,1959,8,212.0,90.0,https://www.imdb.com/title/tt0052618/,"Jack Hawkins, Charlton Heston, Stephen Boyd"
4343,Warrior,2011,8,140.0,71.0,https://www.imdb.com/title/tt1291584/,"Tom Hardy, Nick Nolte, Joel Edgerton"
4344,Tonari no Totoro,1990,8,86.0,87.0,https://www.imdb.com/title/tt0096283/,"Hitoshi Takagi, Noriko Hidaka, Chika Sakamoto"
4345,Bacheha-ye aseman,1999,8,89.0,77.0,https://www.imdb.com/title/tt0118849/,"Reza Naji, Amir Farrokh Hashemian, Bahare Seddiqi"
4346,Hacksaw Ridge,2016,8,139.0,71.0,https://www.imdb.com/title/tt2119532/,"Andrew Garfield, Sam Worthington, Luke Bracey"
4347,Ratatouille,2007,8,111.0,96.0,https://www.imdb.com/title/tt0382932/,"Brad Garrett, Lou Romano, Patton Oswalt"
4348,Salinui chueok,2003,8,132.0,82.0,https://www.imdb.com/title/tt0353969/,"Song Kang-ho, Kim Sang-kyung, Kim Roe-ha"
4349,Spider-Man: No Way Home,2021,8,148.0,71.0,https://www.imdb.com/title/tt10872600/,"Zendaya, Tom Holland, Benedict Cumberbatch"
4350,Gone Girl,2014,8,149.0,79.0,https://www.imdb.com/title/tt2267998/,"Ben Affleck, Rosamund Pike, Neil Patrick Harris"
